Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
33430684914_sort.swc,12069,199785000.0,5,543,1090,548,365470.0,282880.0,115863,517.284,3793720.0,6831760000.0,2840000000000.0,299941.0,384494.0,65,0.925349,10.0716,0.814661,101.386,90.7123,1.55034,pyramidal neuron,33430684914
44583002555_sort.swc,4853,86630400.0,7,117,239,123,139460.0,199104.0,68805,438.886,1559340.0,2413460000.0,750000000000.0,144476.0,180562.0,21,0.920467,19.3013,0.887026,105.09,96.508,1.21118,interneuron,44583002555
5646791730_sort.swc,14416,152145000.0,3,1376,2760,1385,344960.0,232670.0,53064,337.579,4263470.0,4763030000.0,895000000000.0,296872.0,404388.0,237,0.936323,4.22283,0.828143,101.929,97.2064,1.53667,pyramidal neuron,5646791730
6385207860_sort.swc,48653,303795000.0,7,3151,6312,3162,1166110.0,614370.0,173910,563.505,15062500.0,28257200000.0,10600000000000.0,1031850.0,1223400.0,352,0.925508,6.70786,0.82776,102.058,95.3971,1.78028,pyramidal neuron,6385207860
2090702625_sort.swc,77874,268543000.0,5,6173,12388,6216,649920.0,603780.0,126192,440.501,23491000.0,33060900000.0,8260000000000.0,446892.0,763770.0,431,0.933022,5.28616,0.836831,99.6242,94.1777,1.92409,interneuron,2090702625
15369890327_sort.swc,3548,57818200.0,7,323,654,332,148610.0,54240.0,29502,592.359,1096430.0,2265790000.0,890000000000.0,105980.0,155948.0,88,0.921092,4.42355,0.91911,106.917,101.391,1.51295,interneuron,15369890327
30240089916_sort.swc,15564,326298000.0,5,695,1393,699,336160.0,505220.0,116259,492.648,4879950.0,8104980000.0,2360000000000.0,325429.0,375821.0,85,0.927764,10.1723,0.812844,103.069,95.1083,1.63343,interneuron,30240089916
30693173072_sort.swc,3920,42490200.0,4,90,183,94,138780.0,185120.0,102696,386.921,1246410.0,1640110000.0,564000000000.0,155778.0,424848.0,18,0.919693,20.4153,0.866538,110.871,99.7657,1.19922,pyramidal neuron,30693173072
37126825230_sort.swc,48720,316625000.0,6,3013,6038,3026,1700510.0,913060.0,174042,521.462,15045300.0,26148500000.0,8550000000000.0,1407610.0,1636110.0,504,0.929163,7.06873,0.824907,100.352,93.7069,1.75396,pyramidal neuron,37126825230
11495514135_sort.swc,53773,189133000.0,2,3803,7614,3812,488730.0,564576.0,121176,450.697,16316200.0,23390300000.0,4560000000000.0,348897.0,479891.0,228,0.928894,6.06225,0.829888,100.599,94.7063,1.76459,excitatory/spiny neuron with atypical tree,11495514135
