Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,cell_type,Normalized_Name
40116614287_reconnect.swc,9942,77298800.0,7,775,1556,782,417540.0,215110.0,79365,481.097,3039950.0,4912330000.0,1319100000000.0,257908.0,334819.0,146,0.932168,5.38882,0.849019,104.05,97.7921,1.3197,,40116614287
40121593287_reconnect.swc,16232,180964000.0,6,784,1574,791,412190.0,242402.0,116226,685.778,5136000.0,12326900000.0,7988920000000.0,238841.0,329832.0,87,0.91766,9.31194,0.847363,100.765,94.0656,1.60841,,40121593287
40175208184_reconnect.swc,3385,93927100.0,7,259,523,265,104804.0,142590.0,74349,362.787,1057350.0,1330030000.0,308698000000.0,121327.0,172698.0,90,0.934326,5.47036,0.854428,103.158,97.889,1.38743,,40175208184
40295518783_reconnect.swc,1309,59877200.0,2,60,120,61,110144.0,77370.0,13464,1314.18,426749.0,1879880000.0,1174990000000.0,97998.9,135976.0,29,0.910131,9.9,0.905604,109.003,100.508,1.33568,,40295518783
40301462279_reconnect.swc,5823,86771700.0,4,166,334,169,87364.0,177248.0,81642,333.345,1865280.0,2289970000.0,697072000000.0,123246.0,241835.0,32,0.920881,16.4311,0.893255,104.767,88.0967,1.36401,,40301462279
40378162071_reconnect.swc,4086,36656400.0,4,251,505,255,249960.0,167710.0,77187,417.116,1254090.0,1752020000.0,526725000000.0,214791.0,243352.0,23,0.938374,7.08911,0.920155,104.085,99.3036,1.30897,,40378162071
4056420674_reconnect.swc,95547,512516000.0,6,7106,14241,7136,830660.0,826146.0,174174,414.97,28866800.0,38364400000.0,7005390000000.0,641063.0,852372.0,346,0.932478,5.70922,0.84236,100.886,95.5942,2.15595,,4056420674
40572808283_reconnect.swc,1062,92641100.0,4,45,92,48,36928.0,33700.0,69069,613.663,356784.0,935504000.0,748252000000.0,44205.5,67562.1,17,0.923326,10.5326,0.892628,102.767,95.372,1.27225,,40572808283
40800671243_reconnect.swc,6108,108100000.0,4,312,627,316,234170.0,174430.0,74250,437.535,1909380.0,2899030000.0,819397000000.0,142270.0,183625.0,36,0.931095,8.74003,0.858207,104.138,96.6354,1.43696,,40800671243
4086425713_reconnect.swc,20375,76294200.0,3,1708,3426,1719,309920.0,516740.0,174141,397.17,6108720.0,7803970000.0,1496990000000.0,339924.0,414440.0,276,0.934593,4.94688,0.836141,100.066,94.6471,1.69844,,4086425713
4087301768_reconnect.swc,51889,184349000.0,5,4565,9161,4597,350880.0,654942.0,146652,400.669,15488200.0,19758600000.0,3593760000000.0,410436.0,517801.0,465,0.931648,4.66401,0.846895,100.049,93.9226,1.9469,,4087301768
4096690602_reconnect.swc,11611,250048000.0,5,517,1037,521,385950.0,289564.0,174438,567.706,3667270.0,7672450000.0,4366360000000.0,303007.0,391254.0,86,0.927535,10.1958,0.820813,101.889,91.2645,1.54133,,4096690602
41032447215_reconnect.swc,12951,115310000.0,4,700,1402,703,537350.0,358628.0,107811,455.328,3994520.0,6048490000.0,1787640000000.0,379501.0,472412.0,144,0.921309,8.2368,0.848773,100.509,95.449,1.61392,,41032447215
4113014942_reconnect.swc,45262,654198000.0,7,3177,6364,3188,614370.0,696956.0,174306,457.299,13874000.0,20950700000.0,5575280000000.0,552514.0,634906.0,208,0.927928,6.11204,0.813713,100.9,95.2918,1.76114,,4113014942
4127879232_reconnect.swc,27397,305038000.0,5,1370,2744,1375,972230.0,788390.0,174240,537.233,8555900.0,15208700000.0,4956940000000.0,853449.0,1000610.0,222,0.927646,8.98397,0.819716,101.352,92.4309,1.59884,,4127879232
4141223577_reconnect.swc,31387,112783000.0,5,1911,3829,1919,353570.0,391268.0,174009,460.933,9669290.0,14442700000.0,3646080000000.0,269096.0,366227.0,113,0.926262,7.19692,0.800699,100.903,93.9754,1.8215,,4141223577
41441932820_reconnect.swc,918,54081100.0,4,45,92,48,99230.0,57980.0,24222,395.962,303389.0,452073000.0,168194000000.0,86542.2,101855.0,17,0.939546,8.96739,0.857694,103.8,96.2317,1.28305,,41441932820
