Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
33476371406.swc,2530,123163.0,1,48,97,51,202496.0,97536.0,88770,562.966,806829.0,1532030000.0,695764000000.0,174099.0,239523.0,18,0.918058,24.9588,0.908311,103.481,91.0084,1.2667,33476371406
33504726143.swc,11549,12868.0,1,489,977,493,782304.0,231712.0,119394,460.809,3592060.0,5376230000.0,1737770000000.0,419619.0,584663.0,119,0.926438,10.7758,0.842156,101.771,94.1533,1.56007,33504726143
33660869921.swc,37678,102944.0,1,1778,3531,1797,1061410.0,759232.0,174174,545.197,11706100.0,20616600000.0,8320030000000.0,931181.0,1077470.0,203,0.921906,9.61994,0.819229,101.661,93.7487,1.68655,33660869921
33663819104.swc,9240,78024.6,1,238,477,242,522976.0,217120.0,115038,766.854,2921800.0,7298470000.0,3781790000000.0,386769.0,532035.0,48,0.928901,18.3291,0.875565,102.028,91.2053,1.34054,33663819104
33693006029.swc,3471,65156.6,1,97,193,100,207104.0,202048.0,114972,923.458,1098160.0,3302480000.0,1897190000000.0,201296.0,297998.0,32,0.931986,16.9275,0.900619,103.132,87.0314,1.16166,33693006029
3401231145.swc,8361,3830540.0,1,200,374,203,567008.0,531776.0,174405,886.977,2674810.0,8131980000.0,4985520000000.0,455520.0,599466.0,58,0.937692,21.0401,0.922848,96.0703,85.4868,1.26723,3401231145
3402764343.swc,12687,67607.1,1,979,1956,985,254048.0,343040.0,54417,367.02,3814310.0,4583750000.0,1296790000000.0,218865.0,381159.0,203,0.929103,5.47188,0.81846,101.917,96.7394,1.60664,3402764343
3428023111.swc,17097,78024.6,1,991,1946,1007,660928.0,749344.0,158202,507.747,5237090.0,8468920000.0,2457980000000.0,535176.0,676602.0,250,0.921354,7.62282,0.861692,97.416,91.6398,1.50898,3428023111
3441163849.swc,1092,54739.1,1,47,95,48,83968.0,78016.0,61479,598.385,341624.0,700515000.0,385373000000.0,83949.1,178317.0,21,0.920029,10.4842,0.849145,106.56,109.334,1.18204,3441163849
3444362545.swc,4617,78024.6,1,139,275,141,267136.0,272320.0,50358,434.298,1445480.0,2052940000.0,772883000000.0,273829.0,405539.0,44,0.908279,15.7527,0.910268,105.26,97.2798,1.34187,3444362545
3512913025.swc,3493,51471.9,1,152,306,155,173312.0,216352.0,52107,512.903,1086660.0,1766620000.0,394859000000.0,209892.0,287329.0,45,0.92709,10.3856,0.798527,102.939,95.0216,1.24875,3512913025
3530406006.swc,11629,102944.0,1,212,408,221,526592.0,469536.0,174240,646.924,3706670.0,7919110000.0,3635340000000.0,574050.0,760490.0,40,0.923539,27.2255,0.905205,98.4791,94.9072,1.52181,3530406006
3547283761.swc,42012,39420.7,1,3189,6369,3222,454016.0,600640.0,174075,443.673,12651300.0,17909700000.0,4921030000000.0,421621.0,503691.0,279,0.930932,5.56712,0.837421,100.484,95.1501,1.8896,3547283761
