Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Normalized_Name
33662782601_sort.swc,40913,329975000.0,3,2419,4844,2426,797960,451780,115038,543.06,12646200,22805500000,9880940000000.0,491458.0,743144.0,340,0.929116,7.44591,0.811372,100.852,94.5691,1.88395,33662782601
33663848067_sort.swc,18526,183295000.0,4,899,1802,904,994820,374440,115071,569.153,5761410,10827900000,3365530000000.0,780650.0,914707.0,318,0.917386,9.28024,0.858845,102.952,93.7496,1.69505,33663848067
33675951691_sort.swc,43567,537661000.0,6,2838,5692,2855,1129090,245190,121737,477.449,13394100,21074000000,6034980000000.0,946891.0,1195060.0,603,0.922837,6.6539,0.832864,101.193,95.3637,1.72045,33675951691
33677383799_sort.swc,14020,77389800.0,4,708,1420,713,730110,241150,114972,518.005,4354140,7252890000,1783270000000.0,588258.0,687352.0,154,0.923457,8.87254,0.830584,102.852,95.7695,1.5904,33677383799
3369414928_sort.swc,43678,313678000.0,5,1790,3586,1797,1071940,846876,172920,497.338,13648000,22182600000,6350890000000.0,1050170.0,1181270.0,161,0.925049,11.1799,0.796621,101.396,92.2176,1.89449,3369414928
33695168774_sort.swc,15795,29638900.0,2,1091,2184,1094,640450,336870,115005,434.411,4784560,6609190000,1222280000000.0,454492.0,550965.0,266,0.928893,6.23168,0.865556,101.546,95.6391,1.45532,33695168774
33707723541_sort.swc,27108,286281000.0,6,1790,3587,1798,1419930,356670,115071,530.133,8344790,14413800000,3728240000000.0,1174630.0,1501510.0,800,0.922286,6.55701,0.846168,101.665,94.5951,1.71337,33707723541
33738796837_sort.swc,25205,120898000.0,3,1544,3093,1550,833440,312900,114972,416.867,7696840,10321300000,2365100000000.0,698500.0,813641.0,324,0.925185,7.14872,0.841195,101.25,95.6323,1.73582,33738796837
33791972047_sort.swc,29883,265704000.0,3,1958,3926,1969,507840,248860,114906,509.436,9185770,15305100000,4970210000000.0,320336.0,622919.0,178,0.918598,6.61131,0.831564,101.759,95.4297,1.78692,33791972047
33795374316_sort.swc,19776,203750000.0,5,812,1627,816,1332290,499650,114675,593.764,6205400,12155100000,3751940000000.0,1143170.0,1344340.0,242,0.919874,11.1543,0.841939,102.488,93.3727,1.50494,33795374316
