Layer,Boundary,Soma_X,Soma_Y
layer_2,left,2.093300039068188,0.410272
layer_2,right,2.6317052121089595,0.410272
layer_2,left,2.0930046879798283,0.41088
layer_2,right,2.6326522523902973,0.41088
layer_2,left,2.092895905450763,0.411104
layer_2,right,2.633000757905368,0.411104
layer_2,left,2.092678384140008,0.411552
layer_2,right,2.633697142039639,0.411552
layer_2,left,2.0921503093377543,0.41264
layer_2,right,2.6353850777928676,0.41264
layer_2,left,2.092026084437682,0.412896
layer_2,right,2.6357816051686753,0.412896
layer_2,left,2.0917621258442973,0.41344
layer_2,right,2.6366234805221933,0.41344
layer_2,left,2.0915913355694,0.413792
layer_2,right,2.637167708265143,0.413792
layer_2,left,2.091358436016821,0.414272
layer_2,right,2.637909222499987,0.414272
layer_2,left,2.0912652720079796,0.414464
layer_2,right,2.6382056387054993,0.414464
layer_2,left,2.09123421652598,0.414528
layer_2,right,2.6383044208671658,0.414528
layer_2,left,2.091078931328337,0.414848
layer_2,right,2.6387981620618324,0.414848
layer_2,left,2.0910634019805476,0.41488
layer_2,right,2.6388475209395166,0.41488
layer_2,left,2.0910478724628416,0.414912
layer_2,right,2.6388968770971277,0.414912
layer_2,left,2.090939160666611,0.415136
layer_2,right,2.6392422950573216,0.415136
layer_2,left,2.0906751000393333,0.41568
layer_2,right,2.640080640016391,0.41568
layer_2,left,2.0906595646325643,0.415712
layer_2,right,2.640129932049722,0.415712
layer_2,left,2.0902088834432258,0.41664
layer_2,right,2.6415583969715386,0.41664
layer_2,left,2.090022287608602,0.417024
layer_2,right,2.6421489560329987,0.417024
layer_2,left,2.089991181010135,0.417088
layer_2,right,2.6422473545446823,0.417088
layer_2,left,2.089882290125622,0.417312
layer_2,right,2.6425916885793574,0.417312
layer_2,left,2.0897578073246668,0.417568
layer_2,right,2.6429851007092946,0.417568
layer_2,left,2.089664418034555,0.41776
layer_2,right,2.6432800837587256,0.41776
layer_2,left,2.0895865746472726,0.41792
layer_2,right,2.643525854678639,0.41792
layer_2,left,2.089508713084619,0.41808
layer_2,right,2.643771582776973,0.41808
layer_2,left,2.0893529318873423,0.4184
layer_2,right,2.6442629142010463,0.4184
layer_2,left,2.0892750104355216,0.41856
layer_2,right,2.644508519229417,0.41856
layer_2,left,2.088869445405213,0.419392
layer_2,right,2.6457850443761504,0.419392
layer_2,left,2.0888382196996513,0.419456
layer_2,right,2.6458831969095917,0.419456
layer_2,left,2.0888226052065217,0.419488
layer_2,right,2.6459322709983084,0.419488
layer_2,left,2.088728894746572,0.41968
layer_2,right,2.64622668518636,0.41968
layer_2,left,2.088666398092213,0.419808
layer_2,right,2.6464229325413458,0.419808
layer_2,left,2.0886038823725523,0.419936
layer_2,right,2.6466191569612545,0.419936
layer_2,left,2.088478791445151,0.420192
layer_2,right,2.647011536991977,0.420192
