Filename,Soma_X,Soma_Y,Soma_Z,LCC_Node_Proportion,C3 agglomeration id,Cell type,Cell body layer old, E count all inputs, I count all inputs, E count layer 1, I count layer 1, E count layer 2, I count layer 2, E count layer 3, I count layer 3, E count layer 4, I count layer 4, E count layer 5, I count layer 5, E count layer 6, I count layer 6, E count white matter, I count white matter,Soma_x,Soma_y,Soma_z,Cell body layer
28104926701,2771300,751968,157971,,28104926701,pyramidal neuron,layer_2,2005,643,109,51,1884,589,12,3,0,0,0,0,0,0,0,0,,,,layer_2
3236093035,1517310,1088700,6501,,3236093035,unclassified neuron,layer_5,12,23,0,0,0,0,0,0,0,0,12,23,0,0,0,0,,,,layer_5
3396820614,1571940,1311390,7227,,3396820614,unclassified neuron,layer_5,432,179,0,0,0,0,0,0,24,5,372,163,36,11,0,0,,,,layer_5
3514753677,2073540,1125280,5478,,3514753677,pyramidal neuron,layer_4,279,104,0,0,0,0,0,0,232,102,47,2,0,0,0,0,,,,layer_4
28789275629,2779710,769440,117216,,28789275629,pyramidal neuron,layer_2,948,331,148,53,800,278,0,0,0,0,0,0,0,0,0,0,,,,layer_2
3342841717,2220480,1342050,56331,,3342841717,pyramidal neuron,layer_4,955,314,0,0,0,0,225,60,658,236,72,18,0,0,0,0,,,,layer_5
63069516247,2308130,569056,172062,,63069516247,interneuron,layer_2,106,61,0,0,106,61,0,0,0,0,0,0,0,0,0,0,,,,layer_2
69851578252,1929500,2188320,109857,,69851578252,pyramidal neuron,layer_6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,layer_6
39941562095,3106690,1343260,143418,,39941562095,excitatory/spiny neuron with atypical tree,layer_2,866,304,0,0,565,230,301,74,0,0,0,0,0,0,0,0,,,,layer_2
29367241933,1726590,892544,96063,,29367241933,excitatory/spiny neuron with atypical tree,layer_4,407,222,0,0,0,0,210,93,183,125,14,4,0,0,0,0,,,,layer_4
32149710049,2185540,1672350,141108,,32149710049,pyramidal neuron,layer_5,552,246,0,0,0,0,120,41,77,31,355,174,0,0,0,0,,,,layer_5
5834764998,3218140,1681950,43461,,5834764998,interneuron,layer_2,460,446,0,0,317,358,143,88,0,0,0,0,0,0,0,0,,,,layer_2
68605938614,3373790,1955970,137016,,68605938614,pyramidal neuron,layer_2,182,82,0,0,182,82,0,0,0,0,0,0,0,0,0,0,,,,layer_2
87260221121,1502050,2115360,169257,,87260221121,interneuron,white_matter,55,31,0,0,0,0,0,0,0,0,0,0,0,0,55,31,,,,white_matter
2966894888,1592220,1691100,140415,,2966894888,pyramidal neuron,layer_2,673,354,441,231,232,123,0,0,0,0,0,0,0,0,0,0,,,,layer_6
81380280424,1791680,694656,166617,,81380280424,interneuron,layer_3,56,39,0,0,0,0,56,39,0,0,0,0,0,0,0,0,,,,layer_3
73765012166,1247420,1059740,166848,,73765012166,pyramidal neuron,layer_5,59,61,0,0,0,0,0,0,7,11,52,50,0,0,0,0,,,,layer_5
27157731194,3235780,1210370,17886,,27157731194,pyramidal neuron,layer_2,150,76,0,0,150,76,0,0,0,0,0,0,0,0,0,0,,,,layer_2
43107702373,1383710,2109790,108570,,43107702373,interneuron,white_matter,189,110,0,0,0,0,0,0,0,0,0,0,0,0,189,110,,,,white_matter
29833583259,1892700,1028350,105006,,29833583259,pyramidal neuron,layer_4,701,307,0,0,19,4,432,120,250,183,0,0,0,0,0,0,,,,layer_3
5160796796,2207620,1591140,158334,,5160796796,pyramidal neuron,layer_5,1537,550,0,0,0,0,0,0,252,47,1285,503,0,0,0,0,,,,layer_5
59972950774,3262020,1949090,98043,,59972950774,interneuron,layer_2,79,75,0,0,50,50,29,25,0,0,0,0,0,0,0,0,,,,layer_2
5144808371,1836000,1500770,106623,,5144808371,spiny stellate neuron,layer_5,1704,717,0,0,0,0,0,0,0,0,1424,636,280,81,0,0,,,,layer_5
3891590153,1687680,1240670,17325,,3891590153,pyramidal neuron,layer_5,597,267,0,0,0,0,0,0,0,0,597,267,0,0,0,0,,,,layer_5
2601738464,2866240,891552,138039,,2601738464,pyramidal neuron,layer_2,3244,1033,0,0,3199,1017,44,15,0,0,1,1,0,0,0,0,,,,layer_2
5568967435,2379840,1606590,46794,,5568967435,excitatory/spiny neuron with atypical tree,layer_4,338,225,0,0,0,0,0,0,131,139,207,86,0,0,0,0,,,,layer_4
89288446367,2620770,498432,165198,,89288446367,interneuron,layer_2,42,63,0,0,42,63,0,0,0,0,0,0,0,0,0,0,,,,layer_2
