Name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cluster
42341367011_sort.swc,10893,25.0428,3,1075,2153,1079,657.95,331.68,110.979,0.547751,3346.15,5780.84,1117.79,600.308,696.23,231,0.971965,4.05899,0.832799,99.5492,93.8338,1.09573,0
4260193331_sort.swc,17210,171.177,6,2316,4640,2325,590.43,510.98,172.59,0.559118,5258.3,9749.13,3102.58,362.742,457.024,250,0.977939,2.70884,0.828132,100.921,96.4461,1.18127,2
4272618275_sort.swc,13019,149.607,5,958,1920,963,527.71,448.7,174.471,0.462119,4082.85,6157.44,1344.95,427.737,490.332,161,0.972701,5.78021,0.829437,101.198,94.8235,1.13718,0
4301485121_sort.swc,12744,122.265,7,958,1921,964,525.95,572.836,173.745,0.528874,4029.06,6937.98,1483.41,561.001,627.913,169,0.973018,5.63352,0.821658,100.265,94.3658,1.10311,0
4301790604_sort.swc,17923,52.0156,3,1254,2511,1258,658.98,494.204,174.405,0.481414,5604.3,8565.57,1765.48,439.099,516.605,156,0.969111,6.1374,0.818364,101.994,96.6822,1.17555,0
4303207108_sort.swc,18442,145.705,5,1025,2055,1031,982.12,903.646,174.306,0.697292,5894.27,13501.2,4602.96,1009.77,1130.22,175,0.967861,7.97372,0.814583,102.922,95.5237,1.15813,5
4317589541_sort.swc,9282,122.789,4,1245,2494,1250,490.98,485.69,171.402,0.601133,2882.39,5686.15,1604.31,416.973,492.821,213,0.976722,2.72133,0.830109,100.072,96.4172,1.11777,0
4345418227_sort.swc,8418,174.202,5,757,1518,762,435.65,425.09,172.557,0.578756,2645.42,5168.08,1491.94,335.741,456.197,159,0.971965,4.5448,0.828119,101.732,95.2005,1.13558,0
4359406197_sort.swc,24050,174.578,4,880,1764,885,881.31,895.036,174.306,0.552469,7664.39,13742.1,3509.74,896.599,975.566,115,0.963655,12.6332,0.828807,102.07,95.0202,1.23297,5
4361712942_sort.swc,41602,182.127,9,4679,9387,4709,766.43,616.35,173.679,0.604678,12906.6,25733.3,8576.49,465.23,577.783,313,0.976731,3.43177,0.842692,100.557,96.3564,1.1825,1
4388038560_sort.swc,10569,103.475,5,931,1866,936,450.49,436.61,174.042,0.542614,3297.35,5949.15,1633.11,326.6,513.482,168,0.973972,4.66345,0.8383,101.461,96.0832,1.12347,0
4404260613_sort.swc,18766,414.035,5,1408,2819,1412,586.5,582.33,174.372,0.617088,5943.03,12394.8,4450.45,529.827,601.058,114,0.96979,5.65662,0.801883,101.694,95.0435,1.16156,5
4420467705_sort.swc,25135,178.208,6,2759,5527,2769,892.96,662.68,173.778,0.511159,7738.33,13013.8,3327.81,733.174,916.71,351,0.976427,3.54749,0.840173,102.027,97.0195,1.21502,5
4435346021_sort.swc,22467,400.508,5,3471,6963,3493,780.35,603.26,172.524,0.597555,6833.15,12984.8,2772.45,574.169,663.776,351,0.980283,2.22648,0.836519,100.649,97.0343,1.14613,2
4451656411_sort.swc,29494,242.662,8,4667,9363,4697,438.17,521.184,173.91,0.634612,9143.14,18384.5,5063.23,422.334,512.947,354,0.98018,2.14995,0.831577,100.031,97.3984,1.23243,1
446295770_sort.swc,6006,22.8697,2,887,1780,894,328.1,360.864,54.351,0.673808,1842.0,4058.94,1325.25,296.726,381.176,236,0.980764,2.3736,0.819623,100.395,97.4042,1.12371,3
4508818016_sort.swc,11869,202.884,5,1732,3473,1742,434.15,347.14,63.756,0.823828,3680.72,10262.4,5021.7,303.358,389.962,216,0.97999,2.41722,0.862382,101.049,96.9962,1.25157,3
4534165408_sort.swc,8350,68.255,5,250,503,254,533.41,456.13,172.755,0.515872,2683.71,4566.82,1104.36,485.023,541.87,50,0.962173,15.5984,0.811628,105.685,95.9827,1.11739,4
45486189712_sort.swc,8133,115.061,4,865,1734,870,243.1,445.088,94.116,0.482256,2520.26,4037.84,1054.61,269.222,328.411,105,0.978999,3.68973,0.800498,100.392,95.0711,1.12342,3
4549846971_sort.swc,9985,320.456,7,563,1131,569,457.31,520.86,172.986,0.492791,3194.36,5110.88,915.926,449.545,542.98,122,0.96932,7.82759,0.828306,103.255,95.2943,1.12652,0
4594686644_sort.swc,6186,228.869,5,443,889,447,389.48,293.67,173.91,0.585102,1974.24,3920.72,1073.64,352.612,411.485,122,0.972448,5.95726,0.834218,100.641,92.1739,1.19511,0
